Dataset,Accuracy,Time in seconds
ArticularyWordRecognition,0.9,63.719862937927246
AtrialFibrillation,0.13333333333333333,0.9667348861694336
BasicMotions,1.0,2.265108108520508
CharacterTrajectories,0.958217270194986,74.74098420143127
Cricket,0.9166666666666666,57.16497850418091
DuckDuckGeese,0.4,1523.9956936836243
EigenWorms,0.7938931297709924,1025.4401807785034
Epilepsy,0.9420289855072463,5.782355070114136
EthanolConcentration,0.4714828897338403,102.10328269004822
ERing,0.8185185185185185,0.6196551322937012
FaceDetection,0.5661180476730987,8460.134021520615
FingerMovements,0.52,44.13961625099182
HandMovementDirection,0.36486486486486486,39.035521268844604
Handwriting,0.41058823529411764,1.7113361358642578
Heartbeat,0.6878048780487804,304.87956619262695
InsectWingbeat,0.22988,23207.415857076645
JapaneseVowels,0.5027027027027027,11.059090852737427
Libras,0.7,1.4156718254089355
LSST,0.551500405515004,77.3529896736145
MotorImagery,0.46,3100.6446878910065
NATOPS,0.7666666666666667,16.08632493019104
PenDigits,0.873642081189251,81.27599358558655
PEMS-SF,0.9653179190751445,2441.312563896179
PhonemeSpectra,0.27139874739039666,617.0582678318024
RacketSports,0.756578947368421,2.4186558723449707
SelfRegulationSCP1,0.8498293515358362,90.90815019607544
SelfRegulationSCP2,0.5555555555555556,98.34811902046204
SpokenArabicDigits,0.9004092769440655,699.7568833827972
StandWalkJump,0.4,3.2162961959838867
UWaveGestureLibrary,0.69375,7.534019470214844
