Dataset,Accuracy,Time in seconds
ArticularyWordRecognition,0.99,5.961587429046631
AtrialFibrillation,0.06666666666666667,0.3014683723449707
BasicMotions,1.0,0.42536211013793945
CharacterTrajectories,0.9923398328690808,31.721036672592163
Cricket,1.0,11.76834511756897
DuckDuckGeese,0.58,292.55931782722473
EigenWorms,0.7938931297709924,205.33756065368652
Epilepsy,0.9927536231884058,0.9755666255950928
EthanolConcentration,0.41064638783269963,15.955168724060059
ERing,0.9518518518518518,0.4827842712402344
FaceDetection,0.5275255391600454,766.6616291999817
FingerMovements,0.45,5.3834006786346436
HandMovementDirection,0.33783783783783783,8.104676485061646
Handwriting,0.4470588235294118,3.9537429809570312
Heartbeat,0.7414634146341463,87.7912905216217
InsectWingbeat,0.7046,1462.9795384407043
JapaneseVowels,0.9756756756756757,1.560295820236206
Libras,0.8944444444444445,0.7531278133392334
LSST,0.6788321167883211,51.23736524581909
MotorImagery,0.54,636.0594234466553
NATOPS,0.9055555555555556,6.539728164672852
PenDigits,0.9825614636935391,11.787254571914673
PEMS-SF,0.8554913294797688,530.2761723995209
PhonemeSpectra,0.25350432448553534,163.47856450080872
RacketSports,0.8421052631578947,0.644967794418335
SelfRegulationSCP1,0.7713310580204779,25.145172834396362
SelfRegulationSCP2,0.5277777777777778,28.64426016807556
SpokenArabicDigits,0.9831741700773079,136.67023706436157
StandWalkJump,0.5333333333333333,2.70160174369812
UWaveGestureLibrary,0.8875,5.225942134857178
